Uniprot ID	F1.mitosis.intensity.mean	F2.mitosis.intensity.mean	F3.mitosis.intensity.mean	F4.mitosis.intensity.mean	F5.mitosis.intensity.mean	F6.mitosis.intensity.mean	F7.mitosis.intensity.mean	F8.mitosis.intensity.mean	F9.mitosis.intensity.mean	F10.mitosis.intensity.mean	F11.mitosis.intensity.mean	F12.mitosis.intensity.mean	F13.mitosis.intensity.mean	F14.mitosis.intensity.mean	F15.mitosis.intensity.mean	F16.mitosis.intensity.mean	F17.mitosis.intensity.mean	F18.mitosis.intensity.mean	F19.mitosis.intensity.mean	F20.mitosis.intensity.mean	F21.mitosis.intensity.mean	F22.mitosis.intensity.mean	F23.mitosis.intensity.mean	F24.mitosis.intensity.mean	F25.mitosis.intensity.mean	F26.mitosis.intensity.mean	F27.mitosis.intensity.mean	F28.mitosis.intensity.mean	F29.mitosis.intensity.mean	F30.mitosis.intensity.mean	F31.mitosis.intensity.mean	F32.mitosis.intensity.mean	F33.mitosis.intensity.mean	F34.mitosis.intensity.mean	F35.mitosis.intensity.mean	F36.mitosis.intensity.mean	F37.mitosis.intensity.mean	F38.mitosis.intensity.mean	F39.mitosis.intensity.mean	F40.mitosis.intensity.mean	F41.mitosis.intensity.mean	F42.mitosis.intensity.mean	F43.mitosis.intensity.mean	F44.mitosis.intensity.mean	F45.mitosis.intensity.mean	F46.mitosis.intensity.mean	F47.mitosis.intensity.mean	F48.mitosis.intensity.mean	F49.mitosis.intensity.mean	F50.mitosis.intensity.mean	F51.mitosis.intensity.mean	F52.mitosis.intensity.mean	F53.mitosis.intensity.mean	F54.mitosis.intensity.mean	F55.mitosis.intensity.mean	F56.mitosis.intensity.mean	F57.mitosis.intensity.mean	F58.mitosis.intensity.mean	F59.mitosis.intensity.mean	F60.mitosis.intensity.mean	F61.mitosis.intensity.mean	F62.mitosis.intensity.mean	F63.mitosis.intensity.mean	F64.mitosis.intensity.mean	F65.mitosis.intensity.mean
Q9UHQ9	119412.4506	250177.0719	326017.6828	395492.4685	440409.174	458097.3109	469160.915	410046.5884	333616.6892	335192.7414	346306.3473	335803.3496	298446.9463	283308.8222	246379.6275	223499.9104	177270.0351	150241.5444	124848.8874	111052.2742	94864.75438	73407.39998	57055.27798	74072.3923	38638.17555	25131.82516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2410.096822	1416.065198	2672.451839	422.0335744
Q9UHR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1444.528302	2872.529221	3466.890385	8869.031938	28787.77169	72977.50291	147406.4055	208208.1767	217508.7005	167833.1569	123570.8763	84458.05515	68009.22276	55666.72426	33778.60079	15074.62852	14727.46798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2141.00238	1736.054322	1420.36054
Q9UHR5	3085.067044	3595.31737	9560.33312	8273.933469	5063.4122	0	0	0	0	0	0	3539.202069	3856.09994	3721.034556	0	0	0	3308.090759	14017.63885	31993.87898	41833.96252	46251.16772	57626.08663	62310.22367	62329.38344	49344.3455	41526.12395	33186.2251	39537.05246	47840.16747	57336.8898	69161.88293	66842.31194	66105.46942	77494.21364	157871.4731	258687.5409	270900.7716	176338.8245	69551.04366	24890.52138	10885.52308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHR6	3773.522045	26847.29566	22629.60639	30202.5921	47844.02912	48766.44806	38269.89933	16834.93152	12520.86617	14993.8199	30756.10915	29098.97459	16592.61014	13396.30703	16202.15876	6541.557808	9739.495914	0	0	0	0	0	0	0	0	0	0	12973.3364	10454.8535	9199.555745	12579.32971	13950.01088	0	0	0	14928.25035	13207.03371	26306.97467	18307.80912	19122.87565	22073.06922	18734.70622	145199.3918	307201.0244	291751.6592	144726.3216	42717.83088	12105.18642	6199.380924	8781.054152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHV9	42529.60362	118597.9754	125890.2623	151443.2325	157158.8502	180695.5302	189722.3793	183862.1071	180243.613	210158.3945	242717.5726	247659.0468	190955.3409	177374.5289	159684.0412	152306.2627	137111.4596	128108.6199	133221.0105	157140.7085	183359.0328	184031.3626	172730.2386	164416.9992	214542.2798	188504.3594	143474.5779	141972.7462	145048.1874	195958.6686	182704.1271	260370.1584	308863.9156	365056.1989	502752.1539	1045999.719	2083660.223	2605431.551	3880564.465	6011299.441	5130993.341	2448664.267	1009106.519	437185.1947	516082.7318	929121.0247	839593.6859	490994.5555	327006.2635	264933.0113	200711.3247	159508.2895	117762.0248	85447.45282	83991.84415	49342.22561	51911.6537	79293.72604	37678.77407	35385.63878	25774.80067	27355.24791	29585.05759	19410.25031	20794.13866
Q9UHW5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11654.57845	15291.93383	11975.0918	15214.51647	15480.21501	16640.73606	12595.47641	15275.8868	0	0	0	0	0	0	0	0	16971.65419	43571.23687	29607.23921	52485.64288	25050.68415	24939.30655	46046.69458	185462.1231	206468.9855	151523.7683	91862.84386	38545.69162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHX1	108269.7071	172347.0572	417139.391	383340.8364	304840.9893	417808.5777	386723.5907	379349.0276	379398.0961	240551.5764	555909.1488	280160.1548	286277.1039	348732.9386	313551.4854	284186.9047	268341.5258	211508.9333	257754.0526	284749.6446	292721.7519	350798.2709	403158.5914	458421.0914	724582.8411	848191.1917	774412.1848	820047.6609	773782.6797	918688.1304	879144.8726	1091316.929	1294749.845	1808400.503	1931130.633	1344543.213	687748.5814	322239.7513	245213.5973	189164.6501	111611.9061	119132.8061	41550.50613	27532.04214	27681.50671	32645.12477	38379.50142	0	0	0	0	0	17162.78297	17413.60761	10559.67052	21152.00065	20089.00436	30655.42678	19776.15501	5990.432524	14174.84556	16007.57454	24566.08035	19576.10043	28613.63014
Q9UHY1	0	0	0	0	0	0	8297.957354	26664.97323	23865.35151	40702.30411	50830.42038	52795.04677	63002.56898	68502.46112	69383.26859	106273.4	122946.4392	125256.8767	102247.4731	74427.55627	52939.84558	53651.64338	45110.47675	46557.10442	38398.61338	20211.25646	3596.989175	0	3000.39644	12786.34874	11827.24811	13976.84292	8414.75803	10913.35689	4196.295403	4426.520378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHY7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5209.933438	5493.188734	6415.240239	14939.93056	0	0	0	0	0	0	0	21190.05102	314568.4376	1307761.642	1768373.451	1324370.023	459210.0603	160416.6833	109956.0338	69584.50767	52582.63838	41634.28348	23872.80798	17318.76248	16394.297	23982.59246	10468.68859	14921.47772	3865.269127	2091.246385	2989.935939
Q9UHY8	0	0	0	0	0	0	0	3793.661501	3225.663833	2758.62399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23354.41665	88638.02836	110258.3567	82584.28393	19821.3093	14911.24874	6793.714802	6188.225354	6377.489331	4439.751726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UI10	134401.43	258131.1141	295718.5064	254823.1705	198019.8877	172825.9542	171600.6811	140874.7964	117985.6711	106592.9501	107330.5944	85828.16695	83125.57478	85282.19331	76933.7068	101526.9644	94559.76558	110986.9709	132051.794	124069.4762	94742.20943	50059.87479	36559.86856	34984.66039	33019.68393	31280.74932	22957.29812	23626.04473	25330.3549	28022.48895	23695.21354	25755.59234	17408.82637	10008.44484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1568.138704	2411.398738	1008.59739	1670.266534	0
Q9UI12	39450.01207	54312.98023	158488.5694	180304.2395	142677.4835	140312.1459	134407.3801	119527.1987	110913.145	123006.2869	121885.087	123480.7067	118641.7888	114501.3798	104200.459	102998.1297	87065.44187	71840.22766	68106.19317	53745.73696	48614.30996	37105.90374	38014.92258	18115.75646	4255.857375	26214.57225	37805.31014	45419.48518	103758.3299	214537.342	192711.4697	114576.9264	61703.14569	33462.95142	7316.33226	7181.897478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38426.91855	16272.0938	11930.53128	7624.657084	4849.322737	6170.604674	0	0	2429.742443	3110.19424	2856.840426	2674.184136
Q9UI14	30499.68321	62123.38296	135323.4047	207439.2398	201253.806	225782.8501	240741.8157	201042.3786	171270.3312	162532.1786	199680.6325	186095.3728	193059.0263	182468.721	163030.7791	168485.1163	126636.0299	115343.8032	102653.6581	91953.04	98115.27492	72503.17844	65139.77928	39047.58548	34658.46981	35459.14637	31406.67221	28749.49245	29950.38933	49663.98161	37701.8462	49812.51329	56934.84424	81504.96855	91257.06053	92977.94768	83732.0798	75129.93934	57876.5713	33201.0367	11772.42909	22770.57478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UI26	0	8473.360443	27794.54625	26029.97765	27259.94338	32321.59154	42529.34273	38614.4932	21675.97789	26695.59982	27687.72884	28763.80182	19999.13982	18639.66328	28674.4481	10295.50315	19241.82664	8550.388833	7779.734353	8111.127841	11741.90971	10556.7833	4284.919276	4191.841638	5573.823545	0	0	0	3282.146819	36822.83403	41343.58378	60353.82189	48164.29965	44663.4562	47367.34371	85056.86526	170605.9589	331516.4047	445920.7826	325999.4998	131497.1484	20791.77046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UI30	27600.01836	52635.47298	69556.5074	63305.56268	47311.40343	40766.73507	29918.64185	13738.81901	12537.1776	13064.98753	12670.78302	16170.81361	12464.3985	14052.26117	10986.02353	0	0	9609.623575	11982.63185	19037.49274	18480.76888	20600.99054	13011.58911	12115.19041	12345.06908	36680.3522	32175.9249	36709.10039	36408.59755	41649.74981	72583.7759	93337.34145	102228.0978	132151.4243	223736.9185	441458.1386	828106.2837	1013704.794	907238.196	587332.4199	398566.1604	347925.4294	612655.7706	844397.3345	568024.9171	292985.4111	254183.6454	408417.1377	738265.6381	1315485.557	1401482.224	2391115.828	2600820.373	1109146.068	404952.0951	212808.236	162268.4086	125573.7084	102980.5294	81909.54539	81708.50398	96776.92366	83044.16283	82866.48451	64696.69047
Q9UI42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7465.969273	27813.72552	226411.3045	391595.1444	326532.978	142420.8962	47146.53402	12101.24096	3619.897231	4314.809132	3000.789461	1961.554941	2391.165542	1669.000616	0	0	0	0	0
Q9UIA9	52357.77845	121116.2734	208939.7459	242843.1234	332728.1268	327366.3668	362260.0653	259902.0609	188321.8248	285876.1858	259502.6714	222115.586	224868.5932	181818.6869	202671.1613	197079.1129	169867.986	128056.8039	78756.05306	49637.14876	45708.44965	39750.95265	40069.18678	46556.71377	29976.0894	27123.20861	31854.31287	34018.4283	26555.09423	27220.56048	32342.62347	55367.13684	71499.74209	95165.18389	104360.3596	82644.75945	57673.30748	19463.28825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3817.887768	7983.037119	9503.537145	11740.3667	9978.488075	8071.963031	6440.989842	8565.563921	7034.792842	5895.63189
