Uniprot ID	P631_1st_1	P631_1st_2	P631_1st_3	P631_1st_4	P631_1st_5	P631_1st_6	P631_1st_7	P631_1st_8	P631_1st_9	P631_1st_10	P631_1st_11	P631_1st_12	P631_1st_13	P631_1st_14	P631_1st_15	P631_1st_16	P631_1st_17	P631_1st_18	P631_1st_19	P631_1st_20	P631_1st_21	P631_1st_22	P631_1st_23	P631_1st_24	P631_1st_25	P631_1st_26	P631_1st_27	P631_1st_28	P631_1st_29	P631_1st_30	P631_1st_31	P631_1st_32	P631_1st_33	P631_1st_34	P631_1st_35	P631_1st_36	P631_1st_37	P631_1st_38	P631_1st_39	P631_1st_40	P631_1st_41	P631_1st_42	P631_1st_43	P631_1st_44	P631_1st_45	P631_1st_46	P631_1st_47	P631_1st_48	P631_1st_49	P631_1st_50	P631_1st_51	P631_1st_52	P631_1st_53	P631_1st_54	P631_1st_55	P631_1st_56	P631_1st_57	P631_1st_58	P631_1st_59	P631_1st_60	P631_1st_61	P631_1st_62	P631_1st_63	P631_1st_64	P631_1st_65	P631_1st_66	P631_1st_67	P631_1st_68
Q9NRW1	7762167.553	7062400.817	6362634.081	5662867.345	4963100.609	4263333.872	1638519.898	0	0	0	1495070.697	1127724.925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244451.1569	271167.6219	0	0	0	0	0	113499.999	516417.1243	919334.2496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680842.5735	0	0	0	0	0
Q9NRV9	111006968.2	134819704.3	158632440.3	182445176.4	206257912.5	230070648.5	90121461.68	36040691.17	34153728.39	32466801.76	16476952.49	3911106.067	344727.855	172363.9275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257758.79	515517.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2078003.498	0	0	0	0	0
Q9NRR5	0	0	0	0	0	0	96442.39064	2145075.768	646114.5423	0	0	0	0	564576.4759	1129152.952	0	0	1343469.375	0	0	576664.1021	7429673.501	8685887.081	1739662.407	898532.2882	589257.722	709234.4397	0	0	0	683428.7633	0	0	477225.1046	0	0	0	0	0	0	0	0	389497.0491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3019151.696	0	0	0	0	0	0	50459.93614	0	458486.4729	916972.9459
Q9NRP4	25740628.11	26446950.27	27153272.44	27859594.6	28565916.77	29272238.93	30565221.39	30775433.64	14763151.99	18976336.26	5556709.876	2972336.039	3119001.111	2212513.478	1306025.845	1618392.595	1207975.519	953685.5966	718454.7686	4195305.836	3684645.796	2990816.052	44670806.51	47923221.28	1112719.402	343946.3759	168821.9719	0	519874.7476	0	112055.106	2201409.728	0	59066.32599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209599.4383	0	0	0	0	0	0	0	0	0	0	0	0
Q9NRP2	26816539.28	29657626.19	32498713.1	35339800	38180886.91	41021973.82	35131139.47	46780800.05	48094696.91	42210665.36	33294045.17	14078879.9	7655852.664	9933498.77	12211144.88	3730466.332	0	0	0	0	0	0	0	0	0	507848.965	0	0	0	0	1623340.088	1177503.457	0	0	971558.4169	714519.2624	673589.9978	632660.7333	3408991.697	2605811.102	0	0	0	1236254.942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NRP0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343086.1867	0	1252502.961	1178346.779	0	0	0	0	0	194644.5148	389334.0067	432079.2263	408814.7625	484292.1493	526908.0594	862719.1817	642499.4988	0	350080.1434	633054.2839	0	107546.1403	215092.2806	0	560174.3311	930128.7809	3282802.501	8003470.305	5253844.563	3613188.247	7428267.963	6529679.453	5206253.048	3882826.644	3038148.947	784739.9374	2181675.976	0	0	0	0	0	0	0	153574696.4	73970650.21	0	0	0	0	0	0	0
Q9NRN7	0	395372.1977	790744.3954	1186116.593	1581488.791	1976860.988	4835809.471	8263854.64	10055223.98	7558915.524	7307672.808	5503186.992	4144425.363	4734596.685	5324768.007	1101908.005	0	0	1875324.928	3031239.322	0	0	940698.4261	532963.1168	707828.9018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262447.6645	0	0	0	0	0	0	0	0	0	132913.2889	93457.02808	0	0	0	0	0	0
Q9NRL3	0	0	0	0	0	0	0	0	0	0	0	0	1619235.917	809617.9587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327383.5169	163691.7585	0
Q9NRK6	2327750.722	2655967.442	2984184.161	3312400.881	3640617.601	3968834.321	3174227.507	1579526.66	3938508.434	12376632.91	2035500.031	3106975.328	0	0	0	214912.3717	0	0	1336452.93	1013786.399	2443876.266	612707.7168	1911739.605	276474.9331	1248387.546	1163386.234	2935589.655	10868620.02	24463758.74	36241913.6	119299484.6	256709696.5	598935244.2	660967929.9	274037927.1	106911905.4	75447437.67	43982969.98	21132718.18	17188300.86	8383055.501	8645306.39	5591870.813	4171327.359	3386823.552	2606457.649	2886423.938	2946631.561	3006839.184	1517997.831	1742923.255	1189995.878	1187949.415	608328.0606	540671.0868	358890.0552	785611.3709	0	0	0	0	98595.67475	721687.5058	758923.0167	315172.2034	470545.9884	6216792.654	11963039.32
Q9NRH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539855.8748	0	0	724582.9139	349259.3093	0	0	0	0	184209.8012	0	174118.0388	185598.4726	396491.0059	0	0	0	0	0	0	141335.2721	70667.63607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90713.41803	111144.3174	0	0	0	0	0	0	0	0
Q9NRG9	1011425.095	809140.0758	606855.0569	404570.0379	202285.019	0	768660.5834	0	0	0	167922.4276	365130.6436	664088.5614	811414.2362	958739.911	2301675.182	3208055.994	5920912.865	882059.3837	5216479.742	4463145.145	3231669.031	3388077.292	4742734.75	1571160.898	3624050.244	7386849.571	13089178.8	15489871.32	13235219.81	8007366.457	5504086.536	3790229.805	4696183.333	4765279.578	5376806.643	4434801.067	3492795.49	3931458.256	2424328.044	4429974.449	2846304.264	1649522.449	1379344.326	868886.6822	693840.9883	804687.3317	402343.6658	0	372326.9978	1129467.792	1230351.683	763600.6469	1857688.238	832775.6017	425327.0221	581431.6868	0	815599.9282	429802.2548	0	837644.3851	344008.2196	429301.8833	114894.2926	0	963018.3685	1926036.737
Q9NRG7	0	938544.0176	1877088.035	2815632.053	3754176.07	4692720.088	51976995.07	38304338.12	45739296.44	31065025.05	35374370.62	38585333.26	25369852.82	17450683.87	9531514.922	9875461.298	14221378.96	2445467.335	3395835.862	2563195.192	0	597072.5129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329615.5112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NRF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NRF8	141616.3797	195749.8298	249883.2799	304016.7299	358150.18	412283.6301	0	0	0	0	0	323183.7696	0	284371.2452	568742.4904	654868.2326	334619.2262	777824.6907	0	0	0	718848.3192	4502443.985	24009623.81	74421490.55	36391569.66	12891537.68	3092779.395	2153340.331	1347910.875	356860.4584	403884.1354	616350.8711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1244519.505	0	0	837363.2775	0	0	0	0	0	0	0	60331.31013	0	0	0
Q9NRA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402461.731	3786744.071	8106074.574	15534736.09	8997804.059	3097636.934	1153839.82	250033.9535	0	185547.8733	92773.93664	0	0	1115828.452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78527.40418	157054.8084
Q9NR77	0	0	0	0	0	0	0	0	271994.0782	157268.4501	447523.2771	9344690.82	23879133.67	16348879.88	8818626.084	15663820.69	24241537.57	20381649.31	6857563.341	2956296.04	6551943.174	5239170.747	2316888.725	2695304.513	189011.1187	1420998.848	1162492.312	2757479.889	1079048.336	2163162.23	406891.9866	0	477629.8995	0	1130558.49	165122.5961	211522.2142	257921.8324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346942.9828	693885.9655
Q9NR50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167382.7011	118306.9387	0	0	0	0	0	0	0	0	0	2332911.857	7864265.829	0	0	0	0	0	2110049.763	0	0	0	0	0	3202377.621	10147421.64	6023011.14	2989579.178	1801899.627	0	0	0	0	0	0	0
Q9NR45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3793546.874	2078172.163	2951910.762	2447659.974	3229813.721	1758946.388	4028890.146	4775736.78	1203028.025	0	552803.6902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NR31	23540280.97	22697747.56	21855214.15	21012680.74	20170147.33	19327613.93	14592446.59	6278537.936	9548887.371	4282083.748	7451026.433	13840579.38	5299440.213	2942746.654	586053.0955	0	0	0	0	277037.1483	0	0	0	0	0	0	240639.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539377.9919	0	0	0	3128727.433	0	440692.3627	881384.7255	522612.7355	171672.4028	1316044.519	1564689.801	1123418.357	1216689.854	770403.4505	7905701.087	1954822.154	1240134.227	0	0	0	288270.2074	0	0	0	1798104.674	3596209.349
