Uniprot ID	P1_2nd_1	P1_2nd_2	P1_2nd_3	P1_2nd_4	P1_2nd_5	P1_2nd_6	P1_2nd_7	P1_2nd_8	P1_2nd_9	P1_2nd_10	P1_2nd_11	P1_2nd_12	P1_2nd_13	P1_2nd_14	P1_2nd_15	P1_2nd_16	P1_2nd_17	P1_2nd_18	P1_2nd_19	P1_2nd_20	P1_2nd_21	P1_2nd_22	P1_2nd_23	P1_2nd_24	P1_2nd_25	P1_2nd_26	P1_2nd_27	P1_2nd_28	P1_2nd_29	P1_2nd_30	P1_2nd_31	P1_2nd_32	P1_2nd_33	P1_2nd_34	P1_2nd_35	P1_2nd_36	P1_2nd_37	P1_2nd_38	P1_2nd_39	P1_2nd_40	P1_2nd_41	P1_2nd_42	P1_2nd_43	P1_2nd_44	P1_2nd_45	P1_2nd_46	P1_2nd_47	P1_2nd_48	P1_2nd_49	P1_2nd_50	P1_2nd_51	P1_2nd_52	P1_2nd_53	P1_2nd_54	P1_2nd_55	P1_2nd_56	P1_2nd_57	P1_2nd_58	P1_2nd_59	P1_2nd_60	P1_2nd_61	P1_2nd_62	P1_2nd_63	P1_2nd_64	P1_2nd_65	P1_2nd_66	P1_2nd_67	P1_2nd_68
A4D105	0	0	0	0	0	0	0	0	0	0	1049370.419	0	0	0	0	0	0	0	0	0	1120122.861	1313472.826	749423.3124	293412.4163	304031.2886	335647.6597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4D110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289232.1362	447626.3113	0	0	0	0	394652.0726	0	548265.3527	0	0	172832.9586	345665.9171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4D177	0	0	0	0	388309.5787	3388693.583	1731957.3	769507.8764	1495242.935	10173696.55	5901954.837	14989259.06	28204637.89	28316400.33	15697191.89	20858156.05	5217325.866	4602872.745	0	4120915.283	3387708.575	3475638.604	0	0	856645.0936	4999038.368	3570055.274	0	0	812199.5871	1624399.174	0	785772.5293	1571545.059	0	0	0	0	0	0	0	427229.4276	0	0	0	2192364.697	1096182.349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4D1E9	0	0	0	0	0	0	210890.3244	0	207906.4693	1518962.421	7247476.477	23180693.23	20882757.24	9278491.974	6931336.791	7127829.174	9946310.934	464395.4808	275497.2735	0	1740966.524	11995890.24	348717.0411	0	1406375.947	413247.1115	197277.9871	0	338842.9313	1209013.874	2079184.816	2510267.789	2731445.446	2952623.104	2156231.702	2402958.318	2649684.934	2896411.55	3143138.166	1426436.486	975999.2968	0	979939.3309	1267874.139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	877231.7717	1123198.009	571031.0618	292115.088	366639.3912	335791.8073	0	0	0
A4D1K0	2433187.269	2507855.719	2582524.17	1509945.989	379420.4774	145764.4439	0	389847.153	0	0	0	503459.4773	0	0	103562.8349	0	0	468455.6379	0	0	0	0	154326.8107	0	0	0	0	60998454.51	0	0	0	0	336056.0779	672112.1558	435998.4059	392099.459	348200.5122	304301.5654	260402.6185	0	0	0	0	1892129.295	507663.7819	1997284.961	1184340.611	371396.2617	215056.1897	0	98284.63073	1225401.052	0	0	0	552781.9771	0	0	71317.01939	0	0	0	0	0	0	0	0	0
A4D1N4	0	0	0	1772318.625	7502713.807	16726357.62	9958316.025	5780126.1	18427875.76	8837136.082	6167883.113	10483902.16	7597659.018	1331347.127	932634.8973	286589.4304	0	1209758.636	0	0	0	5233758.691	0	0	0	2798144.938	5762299.848	6392657.253	4197745.948	7160543.469	10123340.99	0	302565.7882	605131.5763	659739.4878	494804.6158	329869.7439	164934.8719	0	831371.2164	1729218.496	6087352.66	32608106.48	120243353.6	74683586.32	127475718.6	181271310.3	235066902.1	376698730.7	338952236	331160297.2	411420809.6	171922426.3	354562514.1	177887097.3	259213232.8	119119939.4	2062103.327	78986151.59	88517382.33	50121966.4	69105170.74	58133463.53	246833117.1	374798457.1	121191943.2	7768250.482	7768250.482
A4D1T3	0	0	0	0	0	0	0	0	0	0	159191.7918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127416.8584	317288.0619	507159.2654	0	0	0	292883.8751	276571.173	260546.7661	0	0	0	853377.7482	0	10052396.35	15748743.87	24566713.13	11693348.47	28217611.18	9589658.568	17464921.82	1545286.173	1545286.173
A4D1U5	904045.6256	452022.8128	0	0	0	0	245219.0726	0	1587689.588	1728569.832	24239930.55	50238687.51	106961210.4	160358186	86432431.61	150083994.6	61524112.72	97042006.44	101245830.6	170231423.7	152549946.6	226214726.6	27708529.94	38397818.39	47517848.92	86448359.92	39567148.43	99178586.02	65454945.38	71149411.78	76843878.18	94406868.4	155905418.9	217403969.5	130841997.3	119742200.5	108642403.7	97542606.99	86442810.24	48100993.18	38357733.35	35710892.93	12044636.15	23231474.02	10327790.32	3301844.661	7061994.567	10822144.47	20099319.9	8044146.564	6083004.208	3713986.641	3839044.284	2635813.131	1896146.208	2318971.927	1446302.426	13979697.4	1846026.092	1604674.979	269796.2364	605035.4779	731887.7582	2515783.837	1198611.223	784907.6437	72933.87484	72933.87484
A4D1V4	0	0	0	0	0	297160.2536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332740.424	603185.5839	301592.7919	0	0	0	0	0	0	0	0	0	0	0	0	435541.9385	4128386.933	661156.939	0	0	0	789688.5387	967590.6875	0	0	0	0	0	0	0	0	2946905.249	7965547.689	4063712.715	5599244.901	3736329.517	4676796.434	9822841.317	1996011.657	256294.4123	256294.4123
A4D275	0	0	0	0	0	0	0	3225062.046	196403.4917	0	329617.4856	1014534.752	4614404.552	0	0	0	0	0	0	16960405.26	0	3855707.745	3880933.573	1349437.649	0	0	1732317.669	0	0	0	0	664544.4074	1687115.388	2709686.368	11534401.73	10209907.62	8885413.512	7560919.402	6236425.291	4071513.502	14187606.27	15757330.26	26431382.31	30704541.47	12782479.6	20299488.05	14331081.17	8362674.295	2098548.642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
