Uniprot ID	iBAQ WT_4_72	iBAQ WT_4_01	iBAQ WT_4_02	iBAQ WT_4_03	iBAQ WT_4_04	iBAQ WT_4_05	iBAQ WT_4_06	iBAQ WT_4_07	iBAQ WT_4_08	iBAQ WT_4_09	iBAQ WT_4_10	iBAQ WT_4_11	iBAQ WT_4_12	iBAQ WT_4_13	iBAQ WT_4_14	iBAQ WT_4_15	iBAQ WT_4_16	iBAQ WT_4_17	iBAQ WT_4_18	iBAQ WT_4_19	iBAQ WT_4_20	iBAQ WT_4_21	iBAQ WT_4_22	iBAQ WT_4_23	iBAQ WT_4_24	iBAQ WT_4_25	iBAQ WT_4_26	iBAQ WT_4_27	iBAQ WT_4_28	iBAQ WT_4_29	iBAQ WT_4_30	iBAQ WT_4_31	iBAQ WT_4_32	iBAQ WT_4_33	iBAQ WT_4_34	iBAQ WT_4_35	iBAQ WT_4_36	iBAQ WT_4_37	iBAQ WT_4_38	iBAQ WT_4_39	iBAQ WT_4_40	iBAQ WT_4_41	iBAQ WT_4_42	iBAQ WT_4_43	iBAQ WT_4_44	iBAQ WT_4_45	iBAQ WT_4_46	iBAQ WT_4_47	iBAQ WT_4_48	iBAQ WT_4_49	iBAQ WT_4_50	iBAQ WT_4_51	iBAQ WT_4_52	iBAQ WT_4_53	iBAQ WT_4_54	iBAQ WT_4_55	iBAQ WT_4_56	iBAQ WT_4_57	iBAQ WT_4_58	iBAQ WT_4_59	iBAQ WT_4_60	iBAQ WT_4_61	iBAQ WT_4_62	iBAQ WT_4_63	iBAQ WT_4_64	iBAQ WT_4_65	iBAQ WT_4_66	iBAQ WT_4_67	iBAQ WT_4_68	iBAQ WT_4_69	iBAQ WT_4_70	iBAQ WT_4_71
Q9UFN0;Q9BS92;F2Z3L7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1677800	1053200	6625100	4438500	20040000	18357000	9048100	6980400	2749200	1012800	1137200	835790	2060400	801780	0	133430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UG56;H0Y7P7;B1AKM8;B1AKM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21687	0	0	0	0
Q9UG63;C9JHK9;C9JZV3	0	0	0	0	0	0	0	0	0	635440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541330	494670	133180	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UGC7;Q5TF45;X6RKB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199380	313820	62090	203690	167090	0	0	0	0
Q9UGM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216390	0	173710	587240	5960200	7567800	11821000	10451000	1950800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHN1;J3QRU9;J3KRM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151320	212930	0	281810	233080	0	429690	963670	2115700	1232200	1081500	0	2788400	1320300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UI09;F8VRD8;F8VXI1;H0YID5;H0YIT1	173600	1008300	0	0	4623200	19083000	34947000	44810000	51347000	53265000	69060000	105130000	191390000	690350000	197440000	9075000	1333400	0	885770	1285300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UII2;A0A0B4J230	12492000	0	0	0	0	0	0	0	0	0	0	0	0	0	4865200	3204200	0	0	1612500	0	0	0	35044000	10817000	0	0	0	0	0	0	0	516300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1806600	1782700	0	4283100	6998700	3421500	16005000	3435300	13528000	33216000	18408000	36212000	43319000	31100
Q9UIJ7	248030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88492	0	0	0	61545	1860500	473510	1608400	4539400	4324200	2922000	2109400	1612500
Q9UJS0;R4GN64	0	6032200	3030800	0	2043900	3797500	1468700	2963300	1995200	2152300	1929700	1745200	1280200	605400	464690	284130	1585500	2122500	1454100	581860	108510	939530	835790	0	1119000	1571800	4187100	10773000	9640800	8115900	10571000	14892000	32562000	76194000	85652000	183700000	102670000	133420000	79532000	30365000	22346000	11217000	5370000	5091800	8505700	5688300	4962500	4341200	1932100	4630900	2365000	671950	288130	712650	91165	376920	691180	43471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
