Uniprot ID	KO_1st_1	KO_1st_2	KO_1st_3	KO_1st_4	KO_1st_5	KO_1st_6	KO_1st_7	KO_1st_8	KO_1st_9	KO_1st_10	KO_1st_11	KO_1st_12	KO_1st_13	KO_1st_14	KO_1st_15	KO_1st_16	KO_1st_17	KO_1st_18	KO_1st_19	KO_1st_20	KO_1st_21	KO_1st_22	KO_1st_23	KO_1st_24	KO_1st_25	KO_1st_26	KO_1st_27	KO_1st_28	KO_1st_29	KO_1st_30	KO_1st_31	KO_1st_32	KO_1st_33	KO_1st_34	KO_1st_35	KO_1st_36	KO_1st_37	KO_1st_38	KO_1st_39	KO_1st_40	KO_1st_41	KO_1st_42	KO_1st_43	KO_1st_44	KO_1st_45	KO_1st_46	KO_1st_47	KO_1st_48	KO_1st_49	KO_1st_50	KO_1st_51	KO_1st_52	KO_1st_53	KO_1st_54	KO_1st_55	KO_1st_56	KO_1st_57	KO_1st_58	KO_1st_59	KO_1st_60	KO_1st_61	KO_1st_62	KO_1st_63	KO_1st_64	KO_1st_65	KO_1st_66	KO_1st_67	KO_1st_68
Q96D15	0	2230000	4460000	6690000	8920000	11150000	0	0	0	0	0	0	617030	7944580	114998230	11130990	1487760	427100	8634360	253410	1219300	0	0	0	886230	0	0	0	0	0	0	1122910	0	386620	0	0	0	0	0	1106500	0	0	0	0	0	1056700	1176400	2517800	2173950	1830100	880800	259010	0	0	0	0	0	0	0	0	0	0	0	247160	0	0	0	0
Q96D31-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751700	1503400	0	2905700	3096400	3612000	1915110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96D53	0	30018	60036	90054	120072	150090	0	0	0	0	0	440540	1186780	1801100	7105970	8753940	9273480	3814920	4486650	8274040	3912520	3392230	6583800	2423320	4722070	2222950	311030	413920	526715	639510	783300	606660	4791130	7282060	7613270	0	0	0	15702000	0	0	1102700	0	0	10337000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6060700	0	0	0	0	0	0
Q96D71-3	0	0	0	0	0	0	0	0	1313700	1767900	3611300	0	19621000	19774000	9262900	0	0	0	0	103230000	0	0	0	0	0	0	0	0	0	0	0	0	3716100	499300	309810	0	0	0	0	484570	0	2821800	227100	1212100	2246480	451190	0	1043400	1253150	1462900	1470800	0	1771300	1979400	1912000	1707800	1056500	0	291040	0	0	0	0	0	0	0	514550	1029100
Q96DB5	436100	8426254	16416408	24406562	32396716	40386870	57774660	112050280	142755980	71273800	75954997	52757540	36297330	29421990	34283290	23550180	15974200	12107100	3999200	5082340	4402200	1669200	6590700	1708800	4264200	3279180	3404180	575760	287880	0	392660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96DC9	0	0	0	0	0	0	0	0	0	0	0	0	802840	1478900	0	0	0	0	619620000	0	369990000	0	0	0	0	119480000	0	0	84460000	168920000	200090000	0	0	0	38355000	56058000	28029000	0	133150000	60324000	0	0	0	0	24772000	0	0	12097000	6048500	0	7814300	6321100	8913100	7713100	4418800	0	4492700	0	0	0	0	0	0	0	0	0	0	0
Q96DP5	0	0	0	0	0	0	0	0	571840	852330	1488500	1089400	567740	533740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231390	0	0	0	0	0	180790	0	0	0	0	0	0	0	0	0	0	0	0	0	57450	114900
Q96DV4	0	0	0	0	0	0	0	0	2475950	968900	2371340	3288040	2740150	1692000	2803000	7881340	17541000	16614100	8695100	5624610	5630210	536840	3281800	3009110	1684400	0	682490	0	0	0	400370	1968480	3119000	0	0	622860	1889730	3156600	102940	502200	0	745110	0	0	2380800	0	0	0	0	0	0	0	0	0	0	853140	1949570	46638550	181797100	519353400	287888000	164711500	102341800	21423000	0	0	1130925	2261850
Q96DV6	0	0	0	0	0	0	0	1605600	211720160	435313700	416714000	204159500	117607160	70091400	98602430	32972300	48492930	24038500	22917400	26488900	58575640	65721000	27500100	52684200	36232800	30768990	16235800	17413700	19288750	21163800	20868350	20693830	17033300	22578800	6382010	3378100	5423540	7468980	12117400	8168470	9845500	4744400	2757200	4812000	5191100	7273370	11282340	10801840	7775545	4749250	2871230	648600	4479060	1189400	2283770	1869340	2219830	2263350	2010970	4586840	4265850	3119900	3295320	382026	0	0	6332850	12665700
Q96E11-3	53705	332464	611223	889982	1168741	1447500	29651100	53785200	56593100	35493800	23463000	12545200	10455420	6209920	5650200	3534500	2069650	3207350	0	8272000	0	0	1366300	0	1478000	2082400	2902400	4837100	7564050	10291000	7965210	2005200	0	0	0	0	0	0	2396800	305780	9230500	0	4866370	3708900	10223000	0	0	0	0	0	0	0	3063400	895890	0	904140	0	0	0	0	0	178420	0	79031	0	0	1113350	2226700
Q96E29-3	0	0	0	0	0	0	0	0	0	0	0	192800	3461360	9729200	35019500	22194800	26111000	20273900	10614920	5931180	3100900	1296300	999110	0	0	0	0	0	970750	1941500	382730	0	979000	0	0	109080	54540	0	0	0	3003000	0	290080	246040	0	0	0	0	0	0	0	0	169040	159270	168820	438650	241010	513370	472390	3000930	1727180	1846970	2196860	264550	0	60135	968022.5	1875910
Q96E52	189480	196458	203436	210414	217392	224370	0	0	0	0	165340	992140	2103120	3308310	4990400	3681600	16478030	4904700	13158800	10294700	23038700	21451980	23249400	11784000	10060300	9822800	7934600	4709660	4911930	5114200	2873900	2646900	588350	568210	1481400	1292800	1572150	1851500	2010470	814070	454010	2182180	0	195410	0	0	1574950	0	0	0	525910	664090	379400	443000	537940	615230	537140	0	0	0	409350	696700	247370	0	0	0	195940	391880
Q96EH3	0	0	0	0	0	0	2203580	33202800	1046300	0	0	0	0	8056400	2158900	0	12268700	0	4122500	3528500	1511700	0	0	0	0	1037600	0	0	0	0	0	737470	126440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96EL2	0	322920	645840	968760	1291680	1614600	1785900	1359400	0	0	0	0	0	0	0	0	0	0	0	0	0	1942000	6818300	17436180	21861700	21752700	3579190	5495010	6593835	7692660	13854910	7204990	7094790	5286800	2370400	2944300	3587850	4231400	1516900	4405700	2070100	6956400	5739730	3639140	6860900	7453600	14197700	7962900	8411000	8859100	31213710	10183270	43256500	13533360	21956770	25477500	15186770	51425900	76235600	248949100	204386200	79286000	25203630	0	0	0	854850	1709700
Q96EL3	26007640	22614212	19220784	15827356	12433928	9040500	7139150	4707990	7312700	2131800	0	639780	0	0	1329500	1013500	459010	403140	745000	376740	0	1018490	574780	728650	578800	858180	2378350	584010	933505	1283000	42128030	164925720	151219000	65072690	19904300	20026750	17462775	14898800	3375800	1093300	1037850	2164730	483030	0	2174240	0	3307600	359740	513770	667800	1966360	233180	522770	736610	0	0	0	0	0	2297980	2046120	3534700	2766680	1277100	0	0	350105	700210
Q96EP5-2	0	0	0	0	0	0	0	0	0	1891320	6966400	3564600	4113800	9042500	10443600	3871170	901260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824150	1648300	0	1224500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96ER9	0	0	0	0	0	0	2875000	4797240	3812370	6272510	1813580	3053820	2081200	1825250	3363800	17442700	11704900	10627800	3764700	7386240	10485600	12615000	33920900	23616370	32920130	12957600	8150660	5069520	5575510	6081500	9139660	6235120	6407180	12291430	15101000	25125170	101448435	177771700	855140900	1351230100	1099331800	484507770	145892360	103585720	51739560	23598460	31542610	17538230	23603195	29668160	21538510	38962540	47127220	33741590	14147190	9328000	15021780	22169300	11757189	2334800	2310620	1947560	1296140	0	334710	0	199350	398700
Q96ES6	596030	552308	508586	464864	421142	377420	0	0	0	0	0	0	0	0	0	0	0	0	0	1573700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96EY7	255260	204208	153156	102104	51052	0	0	0	0	0	5633180	3161900	5793000	16475860	14137880	20179500	25456780	18292030	3046300	15375860	30091590	53842300	60906700	77439400	48640200	37069570	38311350	25838790	30266255	34693720	33539500	35042000	35163800	32640130	14123300	25133900	19379500	13625100	8640100	14698750	11798000	19773140	17049580	21155120	38134360	45441380	56442190	60381900	62151010	63920120	41713880	33350370	58502280	55657420	66945680	57899310	45703280	135885370	328794630	827866600	725950800	338118590	85168980	586480	0	0	3380785	6761570
Q96F88	0	0	0	0	0	0	160090000	1785600	188080000	0	107160000	0	44727000	0	24644000	0	0	0	0	7373600	0	10029000	8314200	0	0	0	5618900	4960400	4895150	4829900	5130100	4515700	5700000	4534100	3616800	4250400	2125200	0	4463000	4012000	0	4779700	0	4236800	4655100	4429600	3741600	3610900	4492450	5374000	4353400	3887000	6982800	0	5848300	4493700	4757000	6054600	0	0	3225400	2535400	0	0	0	0	0	0
Q96FW1	5460970	86992736	168524502	250056268	331588034	413119800	6177120	5540090	3004470	0	138790	506970	183740	0	0	0	460380	0	0	0	0	513520	0	643880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170710	349510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2246700	1332100	0	0	0	0	0	87095	174190
Q96FZ7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4678600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808780	0	1626300	0	0	0	0	0	0	0	1417000	1196700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96G03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758370	699800	863420	4523290	4593800	0	3666730	2575300	4395400	6369200	11550900	25380800	11687600	16283500	24617660	32951820	34701100	42572200	26257500	4518710	1663800	765550	978075	1190600	0	0	0	0	1219600	1525400	0	573110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537910	0	481330	0	0	0	0	0
Q96G61	3687900	3858460	4029020	4199580	4370140	4540700	16344180	16877000	21097800	11957000	3057000	1394100	0	1168400	1434000	0	0	1398200	0	0	0	0	735900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96GC9	0	0	0	0	0	0	0	0	0	0	0	0	888020	2042100	8834800	6419300	8436100	11005200	14261900	21874400	18752700	11452500	6161600	2996500	4319800	2197700	3026150	1742100	1813150	1884200	1402900	1363200	1313100	1176300	738380	625750	755005	884260	0	0	0	0	0	0	0	0	418490	0	0	0	0	195840	441940	0	161720	0	0	0	0	0	0	0	0	0	0	0	104930	209860
Q96GJ1-3	0	0	0	0	0	0	0	0	403300	496140	696330	611380	0	655500	618510	278420	371050	205400	343730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96GW9	1513700	1243876	974052	704228	434404	164580	0	0	0	0	422420	0	2057440	5440880	33962570	37459400	55574600	60431200	53225800	64717800	43967200	32745200	29669400	39452570	26717630	21376280	17367510	13551070	13203785	12856500	14692830	7104500	6053610	3028930	2127360	1888240	2500590	3112940	1358690	5777740	2498630	1925370	600660	307760	213850	754020	448440	0	1357305	2714610	532140	62679	979210	491740	1577610	714800	869170	966840	0	1166920	680540	1858710	0	1254000	0	0	0	0
Q96GX9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2459500	5349900	26461400	26976600	8700960	1338500	1199600	796000	1196400	393490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	807450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221990	0	0	0	0	0	0	0
Q96H55	597150	676548	755946	835344	914742	994140	0	0	864960	1592500	33878000	0	0	0	0	2797300	0	0	0	0	0	0	0	3988300	0	1338200	0	37013000	18506500	0	0	0	0	0	0	8422600	4211300	0	0	0	13047000	0	23384000	0	0	29430000	30605000	1591000	795500	0	12528000	0	0	9932200	6871400	0	5652700	0	5919400	6347800	5951600	5816200	3475100	0	0	0	1630950	3261900
Q96H78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577820	5666260	5313860	4312000	11684500	30434500	30025800	29985200	8260600	2374230	443370	0	0	0	0	0	0	0	0	0	15301000	0	0	0	1533600	0	0	0	0	0	0	0	0	0	0	0	0	877520	0	0	0	1572500	0	1745500	0	0	0	0	0	0	0	0	0	0
Q96H79	0	0	0	0	0	0	0	0	10208900	7005900	2652700	2577900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96HE7	0	2057100	4114200	6171300	8228400	10285500	13502000	12269000	18701220	31853920	81122270	120410430	196231000	261720200	250932700	4203310	1181160	420790	2221190	513890	0	299900	1149200	0	891250	0	0	0	0	0	490780	0	0	0	0	0	84825	169650	1489100	1705400	7151600	2942300	1520100	590250	1342100	1070200	626850	0	513450	1026900	0	1040730	624040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96HI4	0	87220	174440	261660	348880	436100	0	558570	1390000	0	2171100	1490300	1394800	1984300	6505800	9080400	8121900	10071400	10839200	19182200	16569800	5645800	13012700	11027600	18161200	12343200	12057800	11999600	10466400	8933200	8006700	2697200	2151200	1134700	713840	946780	473390	0	1205600	0	1437870	0	0	0	0	0	0	0	0	0	0	1455200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96HN2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1582600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96HS1	8755200	7004160	5253120	3502080	1751040	0	540600	5351780	6142470	3172970	4555530	21544280	47446100	94412800	245394500	240087700	206197900	202948300	116711900	72529900	47663300	70792800	84661600	136748900	142727800	108332200	112016200	72171000	61906150	51641300	78033650	96069200	93002200	78350300	43897100	72799600	70537535	68275470	116999300	247630600	264422400	509899200	552427700	393850000	505630100	378530060	371292500	288245500	367121800	445998100	323311700	189928500	289582500	218691700	171895400	159549100	184030800	235612710	177280800	124733650	123837300	124139780	69858360	267300	3765000	206910	70182255	140157600
Q96HT3	0	0	0	0	0	0	0	0	0	0	1454400	1357700	0	0	0	391920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1697100	2291200	1510100	1301800	0	0	724300	1448600	1684100	1595100	1422700	1382300	977040	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96HV5	0	0	0	0	0	0	0	0	0	0	0	3135500	5138090	5632600	15628500	8340200	14036300	14602000	26345100	14221400	20447000	5793070	578840	371550	4535940	0	4096260	2456570	1228285	0	2025700	0	334310	219230	170570	191920	95960	0	0	0	0	0	150240	0	0	0	0	0	866800	1733600	0	998310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54050	108100
Q96HY6	0	0	0	0	0	0	928640	0	0	0	0	699090	639020	76800	2173140	1613700	290170	699440	195260	148120	263250	446550	564000	340710	189860	0	125720	175610	968455	1761300	5782600	8827240	15075899	20228400	19749700	12294910	14686635	17078360	17491490	23445980	24428640	23275860	25481090	15983140	16631470	26992240	24680170	27529500	27973235	28416970	20996610	17667160	19213500	12505180	9281520	9065950	8869340	7833940	5973410	10024490	6135820	3437310	3621320	0	0	0	3301475	6602950
Q96HY7	0	0	0	0	0	0	0	0	0	0	0	0	0	5308200	0	0	116248800	205048840	295415970	266201500	171874700	148942600	87100900	77757000	465523670	1114688700	353034190	170490220	131952230	93414240	57365340	25987060	8167740	10036740	3483380	2332460	1727830	1123200	0	0	0	393100	1094430	381420	668250	647670	0	977350	730205	483060	925810	768340	926150	657390	0	0	1663490	0	1205770	512200	597630	586920	16725880	0	0	0	613050	1226100
Q96I36	275340	3228232	6181124	9134016	12086908	15039800	0	2331000	5027700	3678010	7645550	3099300	3063000	0	362300	0	0	1556300	0	0	1634700	3175300	1960500	10744000	27749500	71543000	87649000	51311000	32272500	13234000	23449300	13842400	2269600	7860800	4373460	670300	335150	0	725460	0	1889800	479690	0	199650	316970	1288040	0	0	0	0	0	0	0	0	0	134850	0	0	0	0	1849500	1755800	269900	0	0	0	1256250	2512500
Q96I51-3	0	0	0	0	0	0	0	0	0	4297420	4426200	5415000	6054700	9811900	14513000	12714500	10335700	2968500	5646200	7228200	4499800	3175600	5057900	3207900	3655200	2272900	2763290	1454900	1214235	973570	0	902990	0	411190	649560	634390	317195	0	0	0	0	0	0	1292090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645500	0	0	0	0	0	0	588130	294065	0
Q96I59	0	0	0	0	0	0	0	0	7871880	47954710	56888800	70777350	57374000	91213600	160957500	80769300	61569600	50014000	81894000	118269800	131655100	77711500	85108500	35213700	21547340	14714100	3510120	4844640	3984720	3124800	0	3183700	2047130	0	0	671820	990210	1308600	4015570	1611040	1145100	2028800	2824990	1310700	353470	0	0	0	0	0	0	0	1270590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96IX5	199889000	189438600	178988200	168537800	158087400	147637000	80014100	62457900	37660500	40533800	61392200	47956800	28401990	28039000	22776170	10716500	23372700	9602700	14458900	10495500	10780200	16865600	7088400	7160100	11362000	6438100	2082300	4444200	4480700	4517200	4407600	4853640	6770300	6582900	2007900	5315000	26353900	47392800	57135600	51651200	78442400	52549400	22045300	11010100	17591600	8374000	16083300	746338000	440006000	133674000	9810440	15246400	15434400	17258700	11604600	25130700	4012060	2905000	4927800	4412300	2021870	2890320	2238500	0	0	0	1976970	3953940
Q96IZ0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1343600	0	0	2301900	5220000	5147000	2573500	0	0	0	0	636670	268610	0	350915	701830	0	0	377710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258940	0	0	0	0	0	0
Q96J84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1281200	1444800	1608400	1681500	857700	0	0	0	0	0	0	0	0	293460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96JB2	0	0	0	0	0	0	0	0	0	0	0	0	2428100	2573500	0	653830	0	0	0	0	0	1313400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96JB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2258040	6290100	7203900	6199400	9696200	18918000	22189900	20557200	31375400	19415570	2468600	4389370	3684430	2779395	1874360	948170	0	0	0	1536820	0	672010	1344020	0	633850	0	1329240	1192900	1195340	1223450	2890280	1575690	0	430425	860850	289430	371220	320670	193470	176080	550230	0	0	0	447270	586850	0	620890	0	0	0	0	0
Q96JJ7	0	0	0	0	0	0	0	116180	0	0	2181390	2520590	4045980	4045800	14046600	102256100	27119700	27866380	34345600	34187670	17070500	8360600	7643500	7459700	4578300	7748810	5746600	5561900	6410800	7259700	5961800	6740600	5310400	5872100	1942500	1482200	1624850	1767500	0	1200300	0	4376870	8374660	5610600	5519400	4956900	1971600	2968300	2731100	2493900	2513870	1713340	163500	537560	1313680	1674100	947080	0	0	610900	0	1028800	235680	0	0	0	0	0
Q96K19	0	0	0	0	0	0	0	0	0	0	1097200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447000	0	0	0	0	0	0	0	0	0	0	599730	374340	0	0	0	0	0	0	0	0	0	1021100	1060800	0	0	0	366850	733700
Q96K76-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208900	417800	1415900	5027900	4524550	1188100	0	286220	143110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96KA5-2	0	0	0	0	0	0	665410	0	0	0	0	0	0	0	0	0	0	0	527350	0	5731000	30338300	50886780	19397470	28209300	34957000	22199960	15386010	14522545	13659080	9854470	10434100	6903500	2610200	3251200	3906320	5517710	7129100	2465100	3762390	4140570	2431450	3276030	1796470	2060740	541280	0	527890	1408205	2288520	1605100	1467170	808800	2164860	685790	1808200	1306950	1452970	562030	0	370340	418610	0	0	0	0	374970	749940
Q96KC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14651000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
