Uniprot ID	iBAQ WT_5_01	iBAQ WT_5_02	iBAQ WT_5_03	iBAQ WT_5_04	iBAQ WT_5_05	iBAQ WT_5_06	iBAQ WT_5_07	iBAQ WT_5_08	iBAQ WT_5_09	iBAQ WT_5_10	iBAQ WT_5_11	iBAQ WT_5_12	iBAQ WT_5_14	iBAQ WT_5_15	iBAQ WT_5_16	iBAQ WT_5_17	iBAQ WT_5_18	iBAQ WT_5_19	iBAQ WT_5_20	iBAQ WT_5_21	iBAQ WT_5_22	iBAQ WT_5_23	iBAQ WT_5_24	iBAQ WT_5_25	iBAQ WT_5_26	iBAQ WT_5_27	iBAQ WT_5_28	iBAQ WT_5_29	iBAQ WT_5_30	iBAQ WT_5_31	iBAQ WT_5_32	iBAQ WT_5_33	iBAQ WT_5_34	iBAQ WT_5_35	iBAQ WT_5_36	iBAQ WT_5_37	iBAQ WT_5_38	iBAQ WT_5_39	iBAQ WT_5_40	iBAQ WT_5_41	iBAQ WT_5_42	iBAQ WT_5_43	iBAQ WT_5_44	iBAQ WT_5_45	iBAQ WT_5_46	iBAQ WT_5_47	iBAQ WT_5_48	iBAQ WT_5_49	iBAQ WT_5_50	iBAQ WT_5_51	iBAQ WT_5_52	iBAQ WT_5_53	iBAQ WT_5_54	iBAQ WT_5_55	iBAQ WT_5_56	iBAQ WT_5_57	iBAQ WT_5_58	iBAQ WT_5_59	iBAQ WT_5_60	iBAQ WT_5_61	iBAQ WT_5_62	iBAQ WT_5_63	iBAQ WT_5_64	iBAQ WT_5_65	iBAQ WT_5_66	iBAQ WT_5_67	iBAQ WT_5_68	iBAQ WT_5_69	iBAQ WT_5_70	iBAQ WT_5_71	iBAQ WT_5_72
P27105;F8VSL7	0	0	0	0	549690	0	360390	0	0	0	0	0	6552300	6496000	6391600	7835400	6514800	6528500	6525000	3744000	1870500	1070600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P27144;D3DQ64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510590	260370	328520	398340	6583100	4674100	5252900	2392600	2865800	3654500	2936700	0	0
P27338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P28288	0	82674	614760	2273400	5466400	2455200	5671100	4080500	6121300	9460500	6034600	10432000	26147000	21749000	23747000	22376000	15142000	10430000	13614000	21164000	18344000	21977000	28049000	70176000	34478000	26613000	35268000	13773000	6920300	8930900	13724000	15719000	18790000	32309000	27945000	82254000	33393000	14362000	2565800	0	0	0	0	0	230120	43884	0	82229	0	0	0	0	0	0	0	70179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P28330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P28331;B4DJ81	0	2296500	11368000	25619000	53351000	19073000	24343000	30684000	54959000	163780000	261430000	351370000	17247000	6772700	2603600	1047300	124850	0	0	146340	69463	115000	0	0	0	93565	0	0	0	0	0	0	0	0	0	1442500	440430	2376100	333870	520340	179730	0	0	0	0	0	0	300100	0	399050	1754600	0	2120600	254210	1294900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P28838	0	501670	0	0	454880	0	0	0	0	0	0	0	149770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188760	428390	365190	5057300	9483700	12137000	10464000	591840	640570	0	0	0	0	94934	0	0	0	0	31618	96359	0	0	21496	0	0	388830	218770	751330	970670	4107100	19183000	26587000	19868000	7597400	1751800	57884	0	47190	0	0	0	0	0	0
P29401;A0A0B4J1R6	0	0	67933	0	0	412870	1351400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61081	0	0	0	0	0	0	0	0	0	0	0	108580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291670	564300	0	338040	0	0	429020	0
P30044	0	367670	0	287590	563940	373990	238210	329190	343420	583320	0	524460	2024400	1001700	684710	2068700	0	1390700	956620	952150	0	0	0	1507300	0	0	50095	0	0	0	335530	0	0	943690	0	779260	444750	502530	0	0	0	217570	0	0	0	0	320560	0	0	146780	0	0	0	0	0	0	0	0	0	0	0	0	329480	369450	1021700	473730	3057000	1952800	2435100	0	1235700
P30048	0	2812900	751170	553960	3535100	1447400	1518600	2504000	2964800	5252600	3700500	2971600	11048000	9574700	4509700	6745900	534600	3684400	2134100	4798400	594190	846660	3472400	9299000	4192700	1393100	2446800	4272400	1134900	417380	2370900	3459300	1708300	4154200	2821400	12772000	3071800	2317800	3866200	2243100	2974600	2504400	1744500	0	2663200	1551700	5534500	2564100	4328400	13248000	13469000	0	15838000	1117800	1858300	2877400	8531500	6035300	3688900	719140	965380	1933100	4860800	841510	957060	0	0	0	0	0	0
P30049	0	0	0	0	0	1677500	0	3773200	1110200	0	1852500	10063000	95359000	17111000	2967300	9133700	7170600	7419200	210500000	596700000	60428000	37687000	11292000	12837000	2303400	847200	4607500	2040800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
