Uniprot ID	P631_2nd_1	P631_2nd_2	P631_2nd_3	P631_2nd_4	P631_2nd_5	P631_2nd_6	P631_2nd_7	P631_2nd_8	P631_2nd_9	P631_2nd_10	P631_2nd_11	P631_2nd_12	P631_2nd_13	P631_2nd_14	P631_2nd_15	P631_2nd_16	P631_2nd_17	P631_2nd_18	P631_2nd_19	P631_2nd_20	P631_2nd_21	P631_2nd_22	P631_2nd_23	P631_2nd_24	P631_2nd_25	P631_2nd_26	P631_2nd_27	P631_2nd_28	P631_2nd_29	P631_2nd_30	P631_2nd_31	P631_2nd_32	P631_2nd_33	P631_2nd_34	P631_2nd_35	P631_2nd_36	P631_2nd_37	P631_2nd_38	P631_2nd_39	P631_2nd_40	P631_2nd_41	P631_2nd_42	P631_2nd_43	P631_2nd_44	P631_2nd_45	P631_2nd_46	P631_2nd_47	P631_2nd_48	P631_2nd_49	P631_2nd_50	P631_2nd_51	P631_2nd_52	P631_2nd_53	P631_2nd_54	P631_2nd_55	P631_2nd_56	P631_2nd_57	P631_2nd_58	P631_2nd_59	P631_2nd_60	P631_2nd_61	P631_2nd_62	P631_2nd_63	P631_2nd_64	P631_2nd_65	P631_2nd_66	P631_2nd_67	P631_2nd_68
A0A023T787	0	0	0	0	0	0	8817593.919	10624851	7144100.173	0	11261782.59	9065325.755	15548432.35	2832499.437	8208932.207	7718269.08	5655634.847	9518117.915	0	8638017.971	8045950.736	0	3178435.017	2592827.775	2524582.988	2456338.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYR8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820359.8268	0	0	0	46050859.17	638899226	750767509.1	728559772.3	509634111.1	290708449.9	95613394.16	122329269.5	62368226.24	47329116.92	32290007.6	24688314.72	18672727.88	12657141.05	26944630.2	21508338.78	16072047.37	10635755.95	5199464.526	2231998.651	265262.7158	1069573.313	1225265.067	0	997031.7415	698627.4843	349313.7422	0	1570548.722	0	363626.4786	0	0	250582.5302	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYS2	0	0	0	0	0	0	0	448596.1278	0	0	0	0	0	0	0	0	0	0	0	0	119552361.6	382329521.1	714909985.2	567913499.7	358442364	148971228.3	67578933.53	31975921.56	57174018.61	55251252.11	53328485.62	31090701.03	29728324.1	28365947.17	21191905.81	23406175.04	25620444.27	27834713.5	30048982.74	8044646.884	10517935.16	6507405.648	11347149.32	7499269.395	17298142.16	8873126.151	9944418.178	11015710.2	10869441.74	32198886.14	9231104.581	3108690.801	3891072.982	0	2195158.912	690922.9057	0	0	1397729.097	2160387.556	677884.388	0	0	497040.1476	0	0	701709.3158	701709.3158
A0A024QYT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYW3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11134894.11	70443555.13	126898499.5	89158035.9	17178247.06	10535714.96	0	5430838.949	4295480.388	3160121.827	3729075.326	2966855.435	0	1060001.855	2120003.711	2431802.082	2281385	2130967.919	0	0	0	0	0	0	0	1071469.824	0	757597.1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYX0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2118225.731	149035176.3	986665527.3	1448325005	976535191.7	278053383.2	237968416.3	197883449.4	194764280.4	144246312.5	69643464.27	53399841.87	37156219.46	42314138.53	47067863.55	51821588.57	86126995.4	78920132.55	71713269.69	64506406.83	57299543.98	52880671.8	55230627.55	29565964.92	15325295.9	9208690.184	25295020.65	14763987.71	13639889.69	12515791.66	1552709.659	1094346.496	8568795.295	1055586.539	3507183.461	0	3589681.719	2873155.905	4065706.146	3371286.547	0	0	0	0	1178681.999	832864.9506	0	872217.5676	0	0
A0A024QYX3	2525560.877	4127342.775	6508828.032	9396148.509	14140568.77	11445922.02	18309634.8	41416969.98	20422763.66	23681207.76	13841512.58	13372007.42	8195063.965	5594294.548	531076.6054	2588797.688	2409695.867	0	3184717.212	1183838.14	1589810.169	1143892.864	0	0	0	0	0	0	0	0	0	975636.7193	487818.3597	0	818818.9111	614114.1833	409409.4555	204704.7278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYY0	0	0	0	0	2741703.941	1709408.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413249.8917	1204403.439	11747348.84	35284273.55	58821198.26	83762815.82	28143996.03	11823387.11	16801493.16	21779599.22	15075311.95	7813382.103	551452.2526	1030813.356	773110.0167	515406.6778	257703.3389	0	384908.8955	0	466909.3186	0	0	0	1488939.454	2297920.211	3106900.968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024QYZ0	888812.0447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931365.0251	1459069.396	1429969.795	1400870.194	0	1195987.668	1179570.989	1215189.849	1250808.709	1136366.083	1148871.207	1161376.33	1163332.108	1157805.555	1152279.001	1146752.448	1141225.894	706094.999	960346.094	0	1027790.79	1038221.604	2109513.631	2153607.527	2033090.137	1912572.747	869313.5341	799794.5284	1372303.987	0	1142885.342	1205529.493	707695.1807	0	0	419075.7384	547374.7525	651096.1608	918148.7095	506943.4945	0	500560.5474	475378.4285	233033.8708	0	0
A0A024QZ30	0	0	0	0	0	0	0	0	0	0	0	12208141.91	70336876.35	83555444.12	173020003.7	160981617.4	106118361.9	120075502.4	100494375.1	79267964.64	51907050.12	94656692.93	52027063.75	190433596	1143258095	2096082594	6162266128	6374394751	1753007724	1117716587	482425450.9	84719908.21	75959503	67199097.8	22192979.5	18648176.95	15103374.4	11558571.85	8013769.304	9381237.186	6775110.123	2350074.282	6491794.987	6221387.983	11363483.03	8745289.412	4964652.675	1184015.938	3825678.889	2783960.591	2940778.399	5123129.931	1621339.675	1267183.902	724467.4558	725949.1055	1279967.575	2920094.569	428261.9668	2394760.838	1344389.706	0	467134.5293	225441.8975	0	0	0	0
