Uniprot ID	P1_1st_1	P1_1st_2	P1_1st_3	P1_1st_4	P1_1st_5	P1_1st_6	P1_1st_7	P1_1st_8	P1_1st_9	P1_1st_10	P1_1st_11	P1_1st_12	P1_1st_13	P1_1st_14	P1_1st_15	P1_1st_16	P1_1st_17	P1_1st_18	P1_1st_19	P1_1st_20	P1_1st_21	P1_1st_22	P1_1st_23	P1_1st_24	P1_1st_25	P1_1st_26	P1_1st_27	P1_1st_28	P1_1st_29	P1_1st_30	P1_1st_31	P1_1st_32	P1_1st_33	P1_1st_34	P1_1st_35	P1_1st_36	P1_1st_37	P1_1st_38	P1_1st_39	P1_1st_40	P1_1st_41	P1_1st_42	P1_1st_43	P1_1st_44	P1_1st_45	P1_1st_46	P1_1st_47	P1_1st_48	P1_1st_49	P1_1st_50	P1_1st_51	P1_1st_52	P1_1st_53	P1_1st_54	P1_1st_55	P1_1st_56	P1_1st_57	P1_1st_58	P1_1st_59	P1_1st_60	P1_1st_61	P1_1st_62	P1_1st_63	P1_1st_64	P1_1st_65	P1_1st_66	P1_1st_67	P1_1st_68
TMED3	0	0	0	0	0	0	1174325.717	0	0	0	647306.533	0	2037366.974	1474975.848	912584.7221	270009.6128	314901.27	988492.2266	989697.8297	0	0	0	0	0	17526171.56	81243777	105009513.6	57140699.01	29040000.18	21748853.49	9144989.014	11055653.92	6210892.138	756754.8272	7357693.707	449382.8901	2872895.456	5277129.745	1495721.321	1562620.923	635921.5447	608124.4304	580327.3161	1870698.024	1057825.782	525153.9112	981645.3105	1697546.114	10533525.39	295497.8833	8314817.504	4157408.752	0	560548.6001	123153.4999	6305873.194	4503257.628	5074906.876	3291649.202	183024.2076	437815.924	0	0	1759384.457	187027.72	0	0	0
HSPA4L	113313.0485	90650.43877	67987.82908	45325.21938	22662.60969	0	0	0	0	2300029.231	4193224.265	0	0	0	0	1764275.111	2031782.529	0	0	0	305222.3239	610444.6478	7718760.479	28667525.67	67085230.39	220868784.5	552490394.1	593118936.2	239824953.8	71864082.07	21743405.53	11286003.74	10239255.86	5226266.94	984067.8904	3304444.518	1442174.343	1598186.216	0	2987234.405	2550908.424	1275454.212	0	844729.7368	1763592.694	1703744.734	1040708.492	2165195.029	1345726.09	1536461.609	1131947.629	1957200.05	2782452.472	1034748.718	2388299.855	1745429.032	0	1438307.314	1137588.942	678254.1386	0	395574.319	266517.9131	0	0	0	37805.89524	842739.3543
PSMD14	0	0	0	0	0	0	433414.3351	5775658.024	957294.4015	2449649.133	0	2629738.948	1796724.034	898362.0169	0	0	539655.2699	2391757.434	0	0	0	0	0	0	1264063.537	0	0	0	368732.5883	0	986126.5147	977095.8646	0	0	0	616267.9385	1706235.555	664435.1967	1972525.996	0	11342303.13	18000712.89	24659122.64	46671514.16	24718845.49	21287539.68	16506492.88	18315614.16	6147325.005	5686124.929	4378614.184	5285489.352	6192364.519	2841356.423	7458020.362	8976739.132	35749045.26	75911655.83	149292580	37038176.25	5939608.68	773292.063	0	150666.2738	0	0	0	0
GNAO1	0	0	0	0	0	0	0	0	4357231.789	0	1212086.118	3059957.297	3647063.287	4624113.658	5601164.028	6791299.069	3256265.887	2146428.565	1489033.636	0	3218278.013	6436556.027	1928396.371	6396520.903	2741268.613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318199.6183	1723898.779	0	0	0	0	0	0	0	0	0	0
RAB7A	0	12571035.67	25142071.34	37713107.02	50284142.69	62855178.36	1050692148	731019851.6	643799365.2	427613677.9	474786711.6	377232318.1	277240729.6	258182759.6	239124789.6	180410778.5	185513323.2	119306488.5	105355953.9	150959371.9	134182892.1	117406412.4	83488587.33	65970036.09	69204817.22	44349704.45	18941288.07	29240846.84	12986848.2	6203601.651	10248764.2	15173107.16	7817574.444	6227508.989	4072322.741	11468982.45	9639434.166	9521421.54	4389043.789	8115983.972	9323520.644	5462320.626	1601120.608	7931720.041	7077197.622	4579335.736	5001774.533	1099077.882	1308124.92	4287215.817	5592565.575	3442281.355	1291997.135	0	2723912.477	369904.0707	1000669.956	7044104.952	1286219.338	798859.9488	220215.9277	1536677.708	3025688.596	1573141.516	396415.9665	190462.5516	0	4843635.795
TXNRD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1596855.503	2239066.656	2881277.81	4331186.211	14726556.3	40823315.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTO	0	0	0	0	0	0	0	0	86114641.23	10098132.05	829989.5322	551722.6751	0	0	0	0	575891.6063	0	0	0	0	0	0	0	0	0	0	631952.1532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAMD1B	0	0	0	0	0	0	0	0	3259223.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSD	0	133310.1378	266620.2756	399930.4134	533240.5513	666550.6891	376512.1408	3864140.097	44228586.83	71540855.32	143456994.4	137726501	145492757.7	151240988.3	156989218.8	84464682.32	13210407.97	3599385.095	946751.0606	1788159.702	1466911.955	1145664.208	1242453.669	1348580.868	2824421.11	2849408.942	999103.8091	1068653.463	596648.4532	1573312.12	213664.7256	2189341.213	944612.8211	552871.4102	0	396586.5707	0	0	0	0	0	1546186.049	3092372.099	0	2353200.88	840839.9606	0	0	1713207.581	2964873.878	519683.2025	616034.7794	712386.3563	551938.7738	3864117.35	1408622.18	2160759.319	0	2390847.545	1435577.647	586366.7055	0	0	434767.7952	0	125450.9701	207716.3251	0
UBE3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309749.0225	0	0	892533.0394	21892957.19	22610689.14	23328421.1	15602779.58	15237459.08	16928260.64	9721142.214	2020954.848	1988904.001	619600.4076	342800.7468	1961903.04	95628.21497	3240445.188	3071899.592	0	0	3076903.983	986934.0413	0	2874112.433	0	0	0	0	0	0	0	258863.4704	0	0	0	0	0	0	0	0	0	0	0	545683.2857	0	0	0	0	0	0	0	0
