Uniprot ID	KO_2nd_1	KO_2nd_2	KO_2nd_3	KO_2nd_4	KO_2nd_5	KO_2nd_6	KO_2nd_7	KO_2nd_8	KO_2nd_9	KO_2nd_10	KO_2nd_11	KO_2nd_12	KO_2nd_13	KO_2nd_14	KO_2nd_15	KO_2nd_16	KO_2nd_17	KO_2nd_18	KO_2nd_19	KO_2nd_20	KO_2nd_21	KO_2nd_22	KO_2nd_23	KO_2nd_24	KO_2nd_25	KO_2nd_26	KO_2nd_27	KO_2nd_28	KO_2nd_29	KO_2nd_30	KO_2nd_31	KO_2nd_32	KO_2nd_33	KO_2nd_34	KO_2nd_35	KO_2nd_36	KO_2nd_37	KO_2nd_38	KO_2nd_39	KO_2nd_40	KO_2nd_41	KO_2nd_42	KO_2nd_43	KO_2nd_44	KO_2nd_45	KO_2nd_46	KO_2nd_47	KO_2nd_48	KO_2nd_49	KO_2nd_50	KO_2nd_51	KO_2nd_52	KO_2nd_53	KO_2nd_54	KO_2nd_55	KO_2nd_56	KO_2nd_57	KO_2nd_58	KO_2nd_59	KO_2nd_60	KO_2nd_61	KO_2nd_62	KO_2nd_63	KO_2nd_64	KO_2nd_65	KO_2nd_66	KO_2nd_67	KO_2nd_68
G5E9W8	0	0	0	1664182.831	5962353.654	5884319.545	5806285.437	6314732.982	0	2942943.868	4223339.36	4035951.481	3430099.345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3055456.11	1820383.571	910191.7854	0	0	1605872.599	3211745.199	2427030.846	2287189.365	2147347.884	2007506.403	0	4946209.528	3459210.286	0	1284415.363	0	0	0	912533.0296	1825066.059	5540797.187	0	0	1783409.583	0	0	1900295.092	1469285.301	1545265.299	1733845.887	1508821.404	1732343.957	1250754.457	2770751.989	1379213.663	2089229.076	3243418.256	3059166.761	855260.8973	855260.8973
G8JL96	0	0	0	0	0	0	0	0	0	0	0	0	743897.1908	3630960.421	6794113.761	9957267.101	5572161.024	5716611.369	9870331.847	12994576.36	25234636	14021401.86	10806829.5	10717155.43	4066652.701	13060166.53	13046914.21	18262587.68	15778660.19	17813112.99	19847565.78	25265116.35	16933556.16	8601995.972	14364372.04	14930481.92	15496591.81	16062701.69	15518296.17	9837156.859	13182883.07	8148059.657	6268084.797	12127684.34	10550617.88	5413442.342	5139185.471	4864928.6	1322670.409	1112046.786	799601.1312	2426898.323	788690.0501	1597391.111	1438495.732	1114962.298	0	2803176.012	1503012.468	0	0	0	0	0	0	0	0	0
G8JLB3	0	0	0	0	0	0	0	0	367827.1222	77121597.58	64597355.08	83191780.98	89230998.12	57578804.35	47518074.14	37457343.93	16161696.56	54291021.73	16770596.73	0	0	0	603334.1943	0	0	4986805.818	14120971	0	0	0	0	0	0	0	0	149059.2095	298118.4189	447177.6284	622019.9729	609487.6906	415588.5024	0	284023.8348	0	0	0	1537192.424	3074384.848	2590122.796	1831515.524	1676595.842	0	0	0	0	0	0	0	750965.0976	0	0	0	0	0	0	0	0	0
G8JLK1	0	0	0	0	0	0	0	0	0	0	403542138.8	0	322968001.2	0	238100110.3	476200220.7	0	0	0	0	372156215.1	339847046.2	0	0	0	0	0	0	0	0	0	0	1321588.136	2643176.271	1934795.312	1289863.541	644931.7707	0	0	0	0	0	0	4165073.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210698.7192	0	0	0	0	0	0	0	0	0
G8JLL2	0	567597.0905	0	0	0	0	0	0	0	1699213.144	3441540.519	1234895.841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4911458.986	9822917.972	14734376.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2754274.931	0	0
H0UID4	633637.8447	0	0	0	0	0	0	7071440.754	0	970467.7781	2254485.572	0	3933687.704	903985.2798	1701554.388	2499123.496	1351869.699	0	0	3706189.454	2840812.615	0	4666276.244	1121765.158	11710284.68	10877389.3	28005078.77	27443003.48	22239345.45	29310565.33	36381785.21	41042848.87	41524816.06	42006783.25	27840904.54	35118809.16	42396713.78	49674618.4	20706846.55	91043306.61	348240273.9	85144025.19	18889117.87	55807542.73	45844550.63	21476917.09	21826546.56	22176176.03	12382486.8	16266880.27	18684599.15	4855166.053	5310560.123	1425596.802	4296933.939	1565961.013	1249605.922	0	1239710.853	0	0	0	608458.4267	0	627320.903	0	0	0
H0Y2S1	0	0	0	0	0	0	0	0	0	0	0	0	2338240.267	2229482.851	3521452.04	4813421.229	2252541.897	4005736.179	1923884.231	0	0	0	0	0	0	0	0	0	0	2505131.217	5010262.433	4626828.489	2313414.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323051.9326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0Y3H2	0	0	0	0	0	0	0	1752840.887	0	2563662.32	765454.3065	1683531.225	3934350.321	2802115.825	3064622.301	3327128.778	6218432.752	9799652.779	10947745.89	0	6354048.214	6046594.268	2589460.18	0	0	0	0	0	0	0	0	5735297.148	10524687.49	15314077.84	15899521.39	11359907.93	6820294.466	2280681.001	7069815.135	10399055.45	3098526.167	1699964.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366501.8897	0	0	0	0	0	0	0	0	0	0
H0Y4H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444924.7331	742925.3536	0	0	0	0	510037.8245	304467.7552	0	0	0	0	0	0	0	0	370004.921	740009.842	1110014.763	0	1098220.194	0	562472.8581	0	0	456233.384	0	0	0	0	551208.3816	0	0	0	0	0	0	0	449253.826	0	0	0	0	0	0	0	0	0	0
H0Y580	3438006.565	0	0	0	0	0	0	0	0	0	3907094.705	1616739.506	924614.7328	1584315.484	1042803.387	501291.2898	1727308.073	1906744.557	0	0	0	0	0	0	0	0	546349.1957	762980.5391	0	474565.7672	949131.5345	842361.9674	898706.4369	955050.9064	854598.281	1210732.435	1566866.589	1923000.743	1543233.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0Y6I0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20053860.31	0	0	16495169.24	9232011.514	11250340.65	0	0	0	0	17532384.56	35064769.13	0	652080.664	1304161.328	9733391.153	10000940.87	10268490.6	10536040.32	22629228.85	0	13508536.87	0	2117103.133	0	0	0	0	0	0	0	0	0	0	956022.7436	0	514411.0918	466260.9767	0	0	0	569673.2881	0	0	287867.0091	0	0	0	0
H0Y9V5	0	0	0	0	0	0	0	0	0	597370.6479	836840.1652	0	0	0	0	0	0	1602161.948	0	1477899.312	947762.1275	434499.5706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392533.8739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YA52	0	0	0	12791586.08	7329419.352	4470826.534	1612233.716	610843.8452	0	0	0	0	0	0	0	0	1883376.29	2585175.261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YAZ4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917635.1748	1033460.497	1647043.157	1001434.045	1731327.945	1264183.48	797039.015	841080.9093	678430.704	515780.4988	447884.4191	298589.6127	149294.8064	0	526338.1846	1010710.672	1330533.455	1186834.075	1235779.33	480529.3136	676133.6343	0	0	0	259264.0738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YC42	2141840.807	11274239.01	22146314.12	13881457.31	9945781.752	13558166.83	17170551.91	14741003.12	7735779.819	6021238.152	6337703.679	8537943.066	13766471.3	20822804.4	26193485.91	31564167.41	67892678.27	93966407.33	75501633.34	45587689.64	56136889.52	13640618.38	7604184.229	1834519.384	0	0	296891.8426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998916.103	862947.2459	683532.8492	504118.4525	972058.0572	550276.3014	602185.6594	0	1013228.614	0	650821.6931	0	678236.3366	0	0	0	3494019.727	3169337.758	2448102.044	730733.2143	2564192.413	952091.2204	0	0
H0YE28	0	0	4683813.488	6904903.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1349705.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2139013.644	0	0	0	0	0	0	0	0	0	0	0
H0YEB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1463321.754	2133756.889	3007924.437	1894243.197	1381510.733	1671162.389	1593017.844	2455611.695	2959023.356	3002535.158	3645935.549	3354119.347	2992816.786	2539498.913	1702702.923	1241698.702	3489911.506	737182.6793	0	0
H0YEN6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14571373.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5017772.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YEX9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2385020.975	6269233.332	11327027.44	12317152.83	15195116.13	18376999.43	15556727.91	4671002.907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YF00	1552774.95	0	0	0	46904396.5	23452198.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3582766.132	1906435.336	2566047.738	0	0	4340578.264	3899938.449	1682161.819	841080.9093	0	0	2763330.687	5526661.374	0	3097362.907	6194725.815	9292088.722	0	0	962693.0806	7782207.132	0	7975691.08	0	3208255.42	1604127.71	0	1741929.805	0	1301510.863	983720.1034	948557.267	982350.6964	867938.9551	672378.8088	0	950324.2437	648347.9257	812720.9332	1094288.67	1695016.574	1828025.745	1561654.008	2866963.87	1484746.347	0	0
H0YFW7	0	0	0	0	0	0	0	0	0	0	0	0	0	1226458.528	613229.2638	0	0	0	0	0	0	0	0	4693973.604	31181837.83	30947271.67	5278842.892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842008.572	421004.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YHG0	845277.4789	0	0	0	0	161751.2559	323502.5117	316297.6642	916274.6027	6776929.912	7969948.406	14709020.84	18228175.81	19131940.22	12162763.24	5193586.266	12223547.24	3985283.424	0	0	2346147.488	5760344.042	2172056.109	5494414.049	0	6758685.878	0	0	1187982.61	1465088.731	1742194.852	3793654.801	2800039.628	1806424.455	0	4002599.796	8005199.591	12007799.39	17033213.65	63452310	25442830.03	9693369.13	10538558.26	11844309.87	10589137.97	6905654.165	5327037.181	3748420.197	0	0	0	0	0	1612763.809	1051218.613	1257336.445	831097.4909	0	707497.4707	1721521.225	0	346243.5018	607309.8918	0	0	0	0	0
H0YIM9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
